,age,recr,mort,dens
1,1,50,10,40
2,2,50,10,80
3,3,50,10,120
4,4,50,10,160
5,5,50,10,200
6,6,50,10,240
7,7,50,10,280
8,8,50,10,320
9,9,50,10,360
10,10,50,10,400
11,11,50,10,440
12,12,50,10,480
13,13,50,10,520
14,14,50,10,560
15,15,50,10,600
16,16,50,10,640
17,17,50,10,680
18,18,50,10,720
19,19,50,10,760
20,20,50,10,800
21,21,50,10,840
22,22,50,10,880
23,23,50,10,920
24,24,50,10,960
25,25,50,10,1000
26,26,50,10,1040
27,27,50,10,1080
28,28,50,10,1120
29,29,50,10,1160
30,30,50,10,1200
31,31,50,10,1240
32,32,50,10,1280
33,33,50,10,1320
34,34,50,10,1360
35,35,50,10,1400
