"T","B","b","xmid","s","xshift","T2","B2","b2","xmid2","s2","xshift2"
12.6,0,-0.2,15,1,-3,0.287714967138287,0.287714967138287,0,0,0,0
9.44444444444444,0,-0.2,17,1,-3,0.122637423332789,0.122637423332789,0,0,0,0
6.27272727272727,0,-0.2,15,1,-3,0.022054573247692,0.022054573247692,0,0,0,0
65.4,0,-0.2,11.5,1,-3,0.342647162483651,0.342647162483651,0,0,0,0
12.4,0,-0.2,11.5,1,-3,0.354647312360543,0.354647312360543,0,0,0,0
10,0,-0.2,15,1,-3,0.563146196252523,0.563146196252523,0,0,0,0
90,0,-0.2,16,1,-3,0.28010066221713,0.28010066221713,0,0,0,0
78.4,0,-0.2,12,1,-3,0.654786870265868,0.654786870265868,0,0,0,0
71.4,0,-0.2,10.5,1,-3,0.510778103099905,0.510778103099905,0,0,0,0
4,0,-0.2,17.5,1,-3,0.0944943527650295,0.0944943527650295,0,0,0,0
4,0,-0.2,13,1,-3,0.438714641491659,0.438714641491659,0,0,0,0
10,0,-0.2,15,1,-3,0.102612786748136,0.102612786748136,0,0,0,0
9,0,-0.2,15,1,-3,0.124391233766234,0.124391233766234,0,0,0,0
8,0,-0.2,14.5,1,-3,0.204295665634675,0.204295665634675,0,0,0,0
2,0,-0.2,5.5,1,-3,0.714285714285714,0.714285714285714,0,0,0,0
6,0,-0.2,13.5,1,-3,0.324757598520891,0.324757598520891,0,0,0,0
4.5,0,-0.2,13,1,-3,0.237257187257187,0.237257187257187,0,0,0,0
13,0,-0.2,15.5,1,-3,0.118755419298898,0.118755419298898,0,0,0,0
3.5,0,-0.2,17,1,-3,0.0405800332616129,0.0405800332616129,0,0,0,0
6,0,-0.2,12.5,1,-3,0.276528267397833,0.276528267397833,0,0,0,0
8.33333333333333,0,-0.2,14,1,-3,0.654501948937895,0.654501948937895,0,0,0,0
26.3333333333333,0,-0.2,6,1,-3,0.819566942619867,0.819566942619867,0,0,0,0
3,0,-0.2,15.5,1,-3,0.124391233766234,0.124391233766234,0,0,0,0
17.8,0,-0.2,5.5,1,-3,0.799048196897453,0.799048196897453,0,0,0,0
10,0,-0.2,10.5,1,-3,0.826021123937791,0.826021123937791,0,0,0,0
8,0,-0.2,9.5,1,-3,0.861040402163591,0.861040402163591,0,0,0,0
14,0,-0.2,4.5,1,-3,0.689867424242424,0.689867424242424,0,0,0,0
40,0,-0.2,7,1,-3,0.588540039040003,0.588540039040003,0,0,0,0
16,0,-0.2,4,1,-3,0.574137931034483,0.574137931034483,0,0,0,0
2,0,-0.2,12.5,1,-3,0.0789473684210527,0.0789473684210527,0,0,0,0
3.33333333333333,0,-0.2,4.5,1,-3,0.95959595959596,0.95959595959596,0,0,0,0
37,0,-0.2,4,1,-3,0.861074270557029,0.861074270557029,0,0,0,0
3.5,0,-0.2,4,1,-3,0.563146196252523,0.563146196252523,0,0,0,0
3,0,-0.2,5.5,1,-3,0.563146196252523,0.563146196252523,0,0,0,0
3.33333333333333,0,-0.2,5.5,1,-3,0.826021123937791,0.826021123937791,0,0,0,0
26.3333333333333,0,-0.2,6,1,-3,0.022054573247692,0.022054573247692,0,0,0,0
0,1.55638888888889,-1,2,1,0,0.0598365402713229,0.0598365402713229,0,0,0,0
0,3.63441558441558,-1,3,1,0,0.0298094364809893,0.0298094364809893,0,0,0,0
