"id","recr","mort","occ","w"
1,1,1,192,0.0120232951343228
2,2,2,179,0.011209217859603
3,3,3,175,0.0109587325443046
4,4,4,167,0.0104577619137078
5,5,5,146,0.00914271400839126
6,6,6,141,0.00882960736426827
7,7,7,135,0.00845387939132068
8,8,8,134,0.00839125806249609
9,9,9,132,0.00826601540484689
10,10,10,125,0.00782766610307471
11,11,11,123,0.00770242344542551
12,12,12,121,0.00757718078777632
13,13,13,108,0.00676310351305655
14,14,14,98,0.00613689022481057
15,15,15,94,0.00588640490951218
16,16,16,94,0.00588640490951218
17,17,17,93,0.00582378358068758
18,18,18,91,0.00569854092303839
19,19,19,89,0.00557329826538919
20,20,20,84,0.0052601916212662
21,21,21,78,0.00488446364831862
22,22,22,65,0.00407038637359885
23,23,23,60,0.00375727972947586
24,24,24,54,0.00338155175652827
25,25,25,53,0.00331893042770368
26,26,26,50,0.00313106644122988
27,27,27,44,0.0027553384682823
28,28,28,31,0.00194126119356253
29,29,29,29,0.00181601853591333
30,30,30,23,0.00144029056296575
31,31,31,23,0.00144029056296575
32,32,32,18,0.00112718391884276
33,33,33,4,0.000250485315298391
34,34,34,4,0.000250485315298391
35,35,35,3,0.000187863986473793
36,36,36,2,0.000125242657649195
37,37,37,185,0.0115849458325506
38,38,38,185,0.0115849458325506
39,39,39,157,0.00983154862546183
40,40,40,155,0.00970630596781264
41,41,41,154,0.00964368463898804
42,42,42,148,0.00926795666604045
43,43,43,144,0.00901747135074206
44,44,44,142,0.00889222869309287
45,45,45,128,0.0080155300895485
46,46,46,127,0.0079529087607239
47,47,47,124,0.00776504477425011
48,48,48,123,0.00770242344542551
49,49,49,119,0.00745193813012712
50,50,50,116,0.00726407414365333
51,51,51,115,0.00720145281482873
52,52,52,114,0.00713883148600413
53,53,53,110,0.00688834617070574
54,54,54,109,0.00682572484188114
55,55,55,108,0.00676310351305655
56,56,56,107,0.00670048218423195
57,57,57,107,0.00670048218423195
58,58,58,105,0.00657523952658275
59,59,59,104,0.00651261819775816
60,60,60,104,0.00651261819775816
61,61,61,103,0.00644999686893356
62,62,62,101,0.00632475421128436
63,63,63,101,0.00632475421128436
64,64,64,100,0.00626213288245977
65,65,65,100,0.00626213288245977
66,66,66,98,0.00613689022481057
67,67,67,98,0.00613689022481057
68,68,68,97,0.00607426889598597
69,69,69,97,0.00607426889598597
70,70,70,94,0.00588640490951218
71,71,71,92,0.00576116225186298
72,72,72,92,0.00576116225186298
73,73,73,91,0.00569854092303839
74,74,74,90,0.00563591959421379
75,75,75,90,0.00563591959421379
76,76,76,89,0.00557329826538919
77,77,77,89,0.00557329826538919
78,78,78,89,0.00557329826538919
79,79,79,88,0.00551067693656459
80,80,80,87,0.00544805560774
81,81,81,87,0.00544805560774
82,82,82,85,0.0053228129500908
83,83,83,84,0.0052601916212662
84,84,84,83,0.00519757029244161
85,85,85,83,0.00519757029244161
86,86,86,82,0.00513494896361701
87,87,87,82,0.00513494896361701
88,88,88,81,0.00507232763479241
89,89,89,81,0.00507232763479241
90,90,90,80,0.00500970630596781
91,91,91,79,0.00494708497714322
92,92,92,78,0.00488446364831862
93,93,93,77,0.00482184231949402
94,94,94,77,0.00482184231949402
95,95,95,75,0.00469659966184482
96,96,96,74,0.00463397833302023
97,97,97,73,0.00457135700419563
98,98,98,72,0.00450873567537103
99,99,99,72,0.00450873567537103
100,100,100,72,0.00450873567537103
101,101,101,71,0.00444611434654643
102,102,102,68,0.00425825036007264
103,103,103,68,0.00425825036007264
104,104,104,67,0.00419562903124804
105,105,105,65,0.00407038637359885
106,106,106,65,0.00407038637359885
107,107,107,64,0.00400776504477425
108,108,108,61,0.00381990105830046
109,109,109,61,0.00381990105830046
110,110,110,60,0.00375727972947586
111,111,111,59,0.00369465840065126
112,112,112,59,0.00369465840065126
113,113,113,58,0.00363203707182666
114,114,114,57,0.00356941574300207
115,115,115,56,0.00350679441417747
116,116,116,56,0.00350679441417747
117,117,117,56,0.00350679441417747
118,118,118,55,0.00344417308535287
119,119,119,55,0.00344417308535287
120,120,120,54,0.00338155175652827
121,121,121,54,0.00338155175652827
122,122,122,54,0.00338155175652827
123,123,123,54,0.00338155175652827
124,124,124,53,0.00331893042770368
125,125,125,51,0.00319368777005448
126,126,126,51,0.00319368777005448
127,127,127,51,0.00319368777005448
128,128,128,50,0.00313106644122988
129,129,129,50,0.00313106644122988
130,130,130,49,0.00306844511240529
131,131,131,49,0.00306844511240529
